age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,health,absences,G1,G2,G3,sex_F,sex_M,address_R,address_U,schoolsup_no,schoolsup_yes,famsup_no,famsup_yes,paid_no,paid_yes,activities_no,activities_yes,higher_no,higher_yes,internet_no,internet_yes,romantic_no,romantic_yes
16,3,3,1,2,0,4,2,3,3,0,5.5,6.0,6.5,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,2,4,1,2,0,5,4,2,5,0,8.5,9.0,8.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
17,3,3,1,2,0,5,3,3,1,32,7.0,6.5,7.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
16,3,2,1,2,0,1,2,2,1,8,7.0,7.5,8.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,3,3,1,2,0,4,3,4,4,6,5.5,6.5,7.0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
16,1,2,1,1,0,3,3,3,3,0,5.0,4.5,5.5,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
16,2,1,1,2,0,4,2,3,5,0,6.5,7.0,8.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,3,3,1,2,0,3,3,3,3,10,6.0,6.5,7.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
17,1,2,1,2,0,3,1,3,3,6,4.5,4.5,5.0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
16,2,3,1,2,0,4,3,3,2,6,6.0,6.0,6.5,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
17,1,1,1,2,0,5,3,3,3,0,6.0,5.5,6.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
17,1,2,2,2,0,4,4,4,5,16,5.0,5.5,6.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
16,3,3,1,1,0,4,3,2,5,0,5.5,5.0,5.0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
16,2,3,2,1,0,5,3,3,3,0,6.5,6.0,6.0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
17,2,4,1,2,0,4,3,2,5,8,7.0,7.5,8.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,4,4,1,1,0,5,2,3,5,4,6.5,6.5,7.0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
16,3,3,3,1,0,3,3,4,3,16,5.0,5.5,6.0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,4,4,2,1,1,4,2,4,2,30,7.0,7.5,8.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
16,4,4,1,2,0,4,5,2,3,0,5.5,5.0,5.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
16,4,3,1,2,0,4,3,5,2,2,7.0,7.0,7.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
16,2,3,1,2,0,4,4,3,4,4,5.5,6.0,6.0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0
17,1,1,1,2,0,4,4,4,1,0,7.0,7.5,7.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
17,2,2,1,1,0,5,3,2,3,21,6.5,6.5,6.5,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
16,2,2,2,4,0,5,3,5,5,6,6.5,6.5,6.5,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,3,4,1,3,1,4,4,3,5,14,4.0,4.5,4.0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
16,3,1,1,2,0,2,3,3,4,2,5.5,5.5,6.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
16,4,3,1,2,0,1,3,2,1,4,7.0,7.5,7.5,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
16,1,1,2,1,0,4,3,2,5,2,6.0,6.5,6.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
17,4,3,2,3,0,4,4,2,4,0,5.5,6.0,6.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
19,3,3,1,4,0,4,3,3,3,4,6.0,6.0,6.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,4,4,1,2,0,5,3,5,3,15,6.5,6.0,6.0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
16,2,2,1,2,0,3,3,4,4,0,6.5,6.5,6.5,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
18,2,2,1,2,0,4,4,4,5,10,6.0,5.5,5.5,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,4,4,1,1,0,5,2,1,3,6,6.0,5.5,5.5,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
17,3,2,2,2,0,4,4,4,1,2,7.0,8.0,7.5,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
17,4,3,1,2,0,3,4,5,1,16,5.5,4.5,5.0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1
18,3,3,1,2,0,3,2,4,4,10,5.0,5.0,5.0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,2,3,2,1,0,3,3,3,3,4,6.0,6.5,6.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
17,2,2,1,3,0,4,3,3,4,0,6.0,6.0,6.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,2,1,2,2,0,4,2,5,5,0,5.5,5.0,5.5,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,1,1,1,3,0,4,3,4,5,12,6.0,6.0,6.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1
16,2,3,1,2,0,2,3,1,3,0,6.5,6.5,7.0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
18,2,2,2,2,3,3,3,3,4,9,5.0,4.5,5.0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
16,4,4,1,3,0,5,3,2,5,4,7.5,8.0,8.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
18,3,1,1,2,0,5,3,3,4,4,4.0,4.0,4.0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,3,2,1,2,0,5,3,4,3,2,8.5,9.0,8.5,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
17,2,3,1,2,0,5,3,3,3,0,5.0,5.5,5.5,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,2,1,4,2,0,4,3,2,3,2,4.5,5.0,5.5,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
17,2,1,2,3,0,3,2,3,3,0,7.5,7.5,8.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,4,3,1,2,0,3,2,3,3,0,7.0,6.0,6.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,2,2,2,2,0,4,5,2,1,0,6.0,6.5,6.5,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,4,4,1,2,0,4,5,5,2,0,6.5,6.5,6.5,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
16,4,4,1,2,0,4,2,4,1,0,6.5,6.5,7.0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
16,1,1,2,2,0,3,4,2,5,2,4.5,4.5,4.5,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
16,3,2,2,3,0,5,3,3,2,0,6.0,6.0,6.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,2,2,1,2,0,4,4,2,4,0,8.0,8.0,8.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
16,2,1,1,1,0,4,5,2,5,4,4.5,5.0,5.0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1
16,4,1,1,2,0,5,3,3,5,0,7.0,6.5,6.5,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
18,2,4,2,2,1,4,3,3,3,18,5.0,5.0,5.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,2,2,1,2,1,5,3,1,5,16,4.5,4.0,5.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
18,3,3,2,1,1,4,1,1,3,14,4.0,3.5,3.5,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
18,2,2,1,1,1,4,4,3,1,26,3.5,4.0,4.0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1
17,4,4,1,1,0,4,2,1,5,6,5.0,4.0,4.5,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,3,2,1,2,0,5,4,2,3,4,7.0,7.0,7.5,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
17,1,1,1,3,0,4,3,2,4,10,5.5,5.0,5.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
16,1,2,1,1,0,5,3,5,5,4,6.0,5.5,5.5,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
17,2,1,3,2,0,2,1,1,3,2,6.5,6.5,6.5,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
17,1,4,4,1,1,5,5,4,5,14,4.5,4.5,4.0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,2,2,1,2,0,5,5,4,2,16,4.0,3.5,4.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
17,2,2,1,1,1,3,1,2,1,8,5.5,4.5,5.0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
17,1,1,2,3,0,4,3,3,5,4,7.5,7.0,7.5,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
17,4,2,1,2,0,4,3,2,4,4,7.5,7.0,7.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
17,4,3,2,2,0,2,5,5,5,8,7.5,7.5,7.5,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,4,4,2,2,0,3,3,3,4,0,6.0,6.0,6.0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
16,4,3,1,1,0,5,4,5,3,7,7.0,7.0,7.5,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
16,4,4,1,1,0,5,3,2,5,4,7.0,7.5,7.5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0
17,4,4,1,2,0,5,3,1,5,2,5.5,5.5,6.0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
17,1,1,2,3,0,4,3,3,1,2,6.5,7.0,7.5,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
17,3,3,2,3,0,4,2,2,5,10,5.5,5.5,5.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
17,1,1,1,2,0,4,3,2,4,10,5.0,4.5,5.0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
18,2,1,2,3,0,4,4,4,3,10,6.0,5.0,5.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
16,2,1,3,1,0,4,3,3,4,7,7.5,8.0,8.0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
17,1,1,1,2,0,4,3,4,5,4,5.5,5.0,5.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
17,2,3,2,1,0,5,2,2,2,2,4.5,6.0,6.5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
22,3,1,1,1,3,5,4,5,1,12,3.5,4.0,2.5,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
18,3,3,1,2,0,4,3,3,5,8,5.0,4.5,5.0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
16,0,2,1,1,0,4,3,2,5,0,5.5,6.0,5.5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
18,3,2,2,1,0,4,4,5,5,8,3.5,4.0,3.5,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
16,3,3,3,2,1,5,3,3,2,4,4.5,5.5,5.0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
18,2,1,1,1,2,3,2,5,5,4,3.5,4.0,3.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
16,2,1,2,1,0,3,3,2,3,2,7.0,6.5,6.0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
17,2,1,1,1,0,4,4,2,5,0,6.0,6.0,6.5,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
17,1,1,2,1,1,4,4,4,5,0,4.5,5.0,5.0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
18,2,1,1,2,0,4,3,4,5,2,6.0,6.0,6.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
17,4,2,1,4,0,4,2,3,4,2,7.0,7.5,8.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
19,2,2,1,2,0,4,3,3,5,0,5.0,5.0,5.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,2,1,3,2,1,4,4,5,5,4,5.5,5.0,5.5,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
17,4,2,1,3,0,4,3,4,5,2,5.5,6.0,7.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
18,1,1,1,3,0,4,4,3,3,4,5.5,6.0,7.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
18,2,2,1,2,0,3,2,3,5,4,5.5,5.5,6.5,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
19,4,3,1,2,0,4,3,1,1,4,5.5,6.5,7.0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,2,1,1,2,0,5,2,4,4,2,8.0,8.0,8.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
17,2,2,2,1,0,5,2,2,4,0,4.5,5.0,5.0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
17,2,2,1,4,0,3,4,1,2,2,5.0,5.5,6.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
20,2,1,2,2,0,1,2,3,2,8,5.0,6.0,6.0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
18,4,3,1,2,0,3,1,2,2,2,7.5,7.5,7.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
18,4,3,1,2,0,4,3,2,3,2,5.0,5.0,5.5,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,3,2,1,3,0,5,3,2,3,2,5.0,5.5,6.0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
17,3,3,1,3,0,3,2,3,4,2,7.5,6.0,6.5,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
18,2,2,1,3,0,4,3,3,3,0,5.5,6.0,6.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
17,2,2,2,1,0,4,4,4,4,8,4.0,4.0,4.5,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
18,3,4,2,2,0,4,2,5,1,6,7.5,8.0,8.0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,3,1,1,2,0,5,4,4,5,0,5.5,5.5,7.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
18,4,4,2,2,0,4,3,4,4,8,5.0,5.5,6.0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,4,2,1,2,0,5,4,5,5,4,5.0,6.0,7.0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
18,2,1,2,2,0,4,3,5,3,12,4.0,4.5,5.0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
19,3,3,1,2,0,4,3,5,5,16,5.5,6.0,6.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
18,2,3,1,4,0,4,5,5,2,10,8.0,8.0,8.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
18,1,1,2,2,0,4,4,3,3,2,6.5,6.5,6.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
17,1,2,1,2,0,3,5,2,1,2,8.0,8.5,9.0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
18,2,1,1,2,0,4,2,5,1,8,7.0,7.0,7.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
17,2,4,2,2,0,4,3,3,1,6,7.5,8.0,8.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
17,2,2,2,2,0,4,4,4,5,6,6.0,6.0,6.0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
18,3,2,2,2,0,4,1,1,5,15,6.0,4.5,5.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
18,4,4,2,1,0,3,2,4,3,6,5.5,6.0,6.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,4,4,1,2,1,2,4,4,4,2,7.0,6.0,6.5,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
17,2,2,3,3,0,4,2,3,1,8,6.5,7.5,7.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
19,3,2,1,2,1,3,3,3,3,0,4.5,4.0,5.0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
18,4,3,2,1,0,4,2,3,1,0,5.0,5.0,5.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,1,2,2,1,0,3,4,4,4,10,5.0,5.0,5.5,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
17,4,1,2,1,0,4,5,4,5,22,5.5,5.5,5.0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,3,2,1,1,0,4,4,4,3,18,6.5,6.5,6.5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
18,1,1,2,4,0,5,2,2,3,2,8.5,8.5,9.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
18,1,1,2,2,0,5,4,4,4,0,6.0,6.5,6.5,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
17,2,2,1,2,0,5,4,5,5,12,6.0,6.0,7.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,2,1,2,2,0,4,3,1,5,10,6.0,6.5,7.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,1,1,1,2,0,4,3,3,4,0,6.0,6.0,6.0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
18,2,2,1,3,0,4,3,3,2,0,9.0,9.0,9.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,1,1,1,3,0,4,3,3,3,0,6.5,6.5,7.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,2,1,1,3,0,4,2,4,2,0,7.0,7.5,7.5,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,4,4,1,2,0,5,4,3,2,0,8.5,8.5,8.5,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
18,4,2,1,2,0,4,3,2,5,2,7.5,8.0,8.0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
17,4,3,1,3,0,4,2,2,3,0,8.5,9.0,9.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,3,1,2,4,0,3,1,2,3,0,9.0,9.5,9.5,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
18,3,2,2,3,0,5,4,2,4,0,7.0,7.5,7.5,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,3,3,1,1,0,4,4,3,5,0,7.0,7.5,7.5,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
19,4,4,2,2,0,2,3,4,2,2,7.0,6.5,6.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
18,4,3,2,2,0,4,4,5,2,0,6.5,7.0,7.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
18,4,3,1,4,0,4,3,3,3,0,8.0,8.5,8.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,4,4,1,1,0,1,4,2,1,0,9.0,9.0,8.5,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
18,4,4,1,2,0,4,2,4,4,0,7.0,7.5,7.5,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
17,4,4,2,1,0,4,1,1,5,0,6.0,6.5,6.5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
17,4,4,2,3,0,5,3,4,5,0,3.5,3.5,4.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,4,2,2,3,0,4,3,3,3,0,8.0,8.0,8.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,3,2,1,4,0,5,2,2,5,0,9.0,9.0,9.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
19,2,1,2,3,1,4,3,1,5,0,4.5,5.0,5.5,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
20,3,2,1,1,2,5,5,3,5,0,7.0,7.5,7.5,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
19,3,3,1,2,0,4,5,3,5,0,5.0,5.0,5.5,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
18,1,4,1,2,0,3,4,4,5,2,5.0,5.0,5.5,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
18,2,1,2,2,0,5,3,3,1,2,6.0,6.0,7.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,2,3,2,2,0,4,2,1,3,2,5.5,6.0,7.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
17,4,4,1,1,0,4,4,4,5,2,7.5,8.0,8.5,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,4,3,1,3,0,4,3,4,5,2,7.0,7.5,8.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
18,4,3,2,1,0,3,2,4,1,8,6.0,6.0,7.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,3,4,1,3,0,4,3,4,5,2,7.5,7.5,8.5,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
18,3,3,1,2,0,4,1,4,3,8,5.5,6.0,7.0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
19,4,2,2,2,0,5,4,4,1,9,5.5,5.0,5.0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
18,4,4,1,2,0,4,4,4,5,0,6.0,5.5,6.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
18,3,4,1,1,0,5,4,4,1,4,5.5,6.0,7.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
17,4,4,1,1,0,5,3,4,5,2,7.0,7.5,8.5,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
17,4,3,1,2,0,5,2,2,5,14,7.5,7.0,8.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
17,3,3,1,2,0,5,3,3,5,0,6.0,6.0,6.5,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
17,2,1,1,2,0,4,2,3,2,2,5.5,6.0,7.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,4,4,1,1,0,4,2,5,5,2,4.0,4.5,5.5,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
19,1,1,3,3,0,1,5,5,5,12,5.0,5.0,5.5,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
19,1,1,3,2,2,5,3,4,4,2,4.0,4.0,4.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
18,2,2,1,1,0,4,3,5,5,2,5.0,5.0,5.0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
17,2,2,1,2,0,4,2,2,3,4,7.0,6.5,6.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1
17,2,2,1,3,0,3,3,2,3,0,5.5,5.5,5.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,3,1,1,3,0,3,4,3,5,0,8.5,9.0,8.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,0,2,2,3,0,3,3,3,2,0,7.0,7.0,7.5,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
18,1,1,2,3,0,4,5,5,2,0,7.0,7.0,7.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,4,4,1,3,0,4,3,3,3,0,6.5,7.0,6.5,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
17,3,3,1,1,0,4,3,5,5,0,8.5,9.0,8.5,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
17,2,2,4,1,0,4,4,5,4,2,5.5,5.0,5.0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
17,4,4,1,3,0,5,4,4,4,0,6.5,6.0,6.5,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
17,4,4,2,3,0,4,3,3,4,4,7.5,7.0,7.5,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
17,3,3,1,1,0,4,2,5,5,2,5.5,6.0,5.5,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
18,2,2,1,4,0,4,5,5,5,0,5.5,5.5,6.0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
19,3,2,1,1,0,5,3,4,5,0,5.5,5.0,5.0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
18,2,2,4,2,0,4,2,5,2,2,5.0,4.5,5.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
17,2,4,1,3,0,4,4,3,5,0,7.5,7.5,7.5,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
18,2,2,1,1,0,5,4,2,5,6,7.5,7.0,7.5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
18,3,3,1,2,0,5,3,4,4,8,5.0,5.5,6.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
18,2,2,1,2,0,4,3,3,2,0,5.0,4.5,6.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
18,2,2,2,4,0,4,4,4,4,6,7.0,6.5,7.0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
17,3,4,1,3,0,4,4,5,5,8,5.5,6.5,7.0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
